Chinese,Pinyin,English,HSK,Game level,Village use,Practice
谢谢,xièxie,thank you,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
吃,chī,eat,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
米饭,mǐfàn,cooked rice,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
菜,cài,vegetables / dish,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
水果,shuǐguǒ,fruit,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
苹果,píngguǒ,apple,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
买,mǎi,buy,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
商店,shāngdiàn,shop,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
东西,dōngxi,things,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
大,dà,big,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
小,xiǎo,small,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
些,xiē,some,1,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
公斤,gōngjīn,kilogram,2,7,Kitchen: matching-board completion multiplier,Target/weapon + matching; reuse in sentences
爸爸,bàba,dad,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
妈妈,māma,mom,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
儿子,érzi,son,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
女儿,nǚ'ér,daughter,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
朋友,péngyou,friend,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
爱,ài,love,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
喜欢,xǐhuan,like,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
认识,rènshi,know someone / recognize,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
和,hé,and / with,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
都,dōu,all / both,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
也,yě,also,2,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
它,tā,it,2,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
岁,suì,years old,1,8,Courtyards: housing and kitchen multiplier synergy,Target/weapon + matching; reuse in sentences
桌子,zhuōzi,table,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
椅子,yǐzi,chair,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
衣服,yīfu,clothes,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
本,běn,classifier for books,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
书,shū,book,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
上,shàng,on / above,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
下,xià,under / below,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
里,lǐ,inside,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
前面,qiánmiàn,in front,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
后面,hòumiàn,behind,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
坐,zuò,sit,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
开,kāi,open / operate,1,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
门,mén,door,2,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
穿,chuān,wear,2,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
张,zhāng,classifier for flat objects,2,9,Furnishings: improve courtyard multiplier tiers,Target/weapon + matching; reuse in sentences
今天,jīntiān,today,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
明天,míngtiān,tomorrow,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
昨天,zuótiān,yesterday,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
现在,xiànzài,now,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
时候,shíhou,time / moment,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
年,nián,year,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
月,yuè,month,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
日,rì,day / date,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
号,hào,date number / number,2,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
星期,xīngqī,week,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
点,diǎn,o'clock / point,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
分钟,fēnzhōng,minute,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
几,jǐ,how many / a few,1,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
去年,qùnián,last year,2,10,Clock: repeatable objectives multiply earned coins,Target/weapon + matching; reuse in sentences
上午,shàngwǔ,morning,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
中午,zhōngwǔ,noon,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
下午,xiàwǔ,afternoon,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
晚上,wǎnshang,evening,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
早上,zǎoshang,early morning,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
工作,gōngzuò,work,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
做,zuò,do / make,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
睡觉,shuìjiào,sleep,1,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
起床,qǐchuáng,get up,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
休息,xiūxi,rest,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
忙,máng,busy,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
累,lèi,tired,2,11,Schedules: objective completion multiplier,Target/weapon + matching; reuse in sentences
了,le,completion / changed-state particle,1,11,Schedules: objective completion multiplier,Context/order + matching
学校,xuéxiào,school,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
老师,lǎoshī,teacher,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
学生,xuésheng,student,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
同学,tóngxué,classmate,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
学习,xuéxí,study / learn,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
汉语,Hànyǔ,Chinese language,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
字,zì,written character,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
读,dú,read,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
写,xiě,write,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
听,tīng,listen,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
说话,shuōhuà,speak / talk,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
会,huì,know how to / can,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
能,néng,be able to,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
看,kàn,look / watch / read,1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
看见,kànjiàn,see (successfully perceive),1,12,School: familiar-vocabulary review multiplier,Target/weapon + matching; reuse in sentences
先生,xiānsheng,Mr. / gentleman,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
小姐,xiǎojiě,Miss / young lady,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
您,nín,you (polite),2,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
再见,zàijiàn,goodbye,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
不客气,bú kèqi,you're welcome,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
对不起,duìbuqǐ,sorry,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
没关系,méi guānxi,it's okay,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
怎么,zěnme,how,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
怎么样,zěnmeyàng,how is it / how about,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
什么,shénme,what,1,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
呢,ne,follow-up question particle,1,13,Welcome pavilion: visitor-request multiplier,Context/order + matching
欢迎,huānyíng,welcome,2,13,Welcome pavilion: visitor-request multiplier,Target/weapon + matching; reuse in sentences
吧,ba,suggestion particle,2,13,Welcome pavilion: visitor-request multiplier,Context/order + matching
天气,tiānqì,weather,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
冷,lěng,cold,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
热,rè,hot,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
下雨,xià yǔ,rain,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
晴,qíng,clear / sunny,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
阴,yīn,overcast,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
雪,xuě,snow,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
身体,shēntǐ,body / health,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
生病,shēngbìng,become ill,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
医生,yīshēng,doctor,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
医院,yīyuàn,hospital,1,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
药,yào,medicine,2,14,Clinic and shelter: matching-set reward multiplier,Target/weapon + matching; reuse in sentences
卖,mài,sell,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
贵,guì,expensive,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
便宜,piányi,inexpensive,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
给,gěi,give / to / for,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
找,zhǎo,look for / give change,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
件,jiàn,classifier for clothing / items,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
每,měi,every,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
次,cì,occurrence / time,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
新,xīn,new,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
长,cháng,long,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
高,gāo,tall / high,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
最,zuì,most,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
比,bǐ,comparison marker,2,15,Market: commercial building multiplier tiers,Context/order + matching
第一,dì-yī,first,2,15,Market: commercial building multiplier tiers,Target/weapon + matching; reuse in sentences
饭馆,fànguǎn,restaurant,1,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
服务员,fúwùyuán,server / attendant,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
好吃,hǎochī,delicious,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
鸡蛋,jīdàn,egg,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
牛奶,niúnǎi,milk,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
鱼,yú,fish,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
羊肉,yángròu,lamb / mutton,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
西瓜,xīguā,watermelon,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
咖啡,kāfēi,coffee,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
送,sòng,deliver / give a gift,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
还,hái,still / also,2,16,"Restaurants: specialize word, match, or sentence earnings",Target/weapon + matching; reuse in sentences
哥哥,gēge,older brother,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
姐姐,jiějie,older sister,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
弟弟,dìdi,younger brother,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
妹妹,mèimei,younger sister,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
孩子,háizi,child,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
丈夫,zhàngfu,husband,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
妻子,qīzi,wife,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
男人,nánrén,man,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
女人,nǚrén,woman,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
大家,dàjiā,everyone,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
一起,yìqǐ,together,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
帮助,bāngzhù,help,2,17,Residential district: household-set multiplier synergy,Target/weapon + matching; reuse in sentences
路,lù,road,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
走,zǒu,walk / go,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
进,jìn,enter,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
出,chū,exit,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
到,dào,arrive / to,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
从,cóng,from,2,18,Roads: multiply linked buildings' contributions,Context/order + matching
向,xiàng,toward,2,18,Roads: multiply linked buildings' contributions,Context/order + matching
离,lí,distance from,2,18,Roads: multiply linked buildings' contributions,Context/order + matching
近,jìn,near,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
远,yuǎn,far,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
左边,zuǒbian,left side,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
右边,yòubian,right side,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
旁边,pángbiān,beside,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
外,wài,outside,2,18,Roads: multiply linked buildings' contributions,Target/weapon + matching; reuse in sentences
出租车,chūzūchē,taxi,1,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
公共汽车,gōnggòngqìchē,bus,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
飞机,fēijī,airplane,1,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
火车站,huǒchēzhàn,train station,1,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
机场,jīchǎng,airport,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
票,piào,ticket,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
旅游,lǚyóu,travel / tourism,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
房间,fángjiān,room,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
中国,Zhōngguó,China,1,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
北京,Běijīng,Beijing,1,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
船,chuán,boat,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
自行车,zìxíngchē,bicycle,2,19,Guest rooms and transport: travel-request multiplier,Target/weapon + matching; reuse in sentences
高兴,gāoxìng,happy / pleased,1,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
快乐,kuàilè,happy / joyful,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
笑,xiào,smile / laugh,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
漂亮,piàoliang,beautiful,1,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
颜色,yánsè,color,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
红,hóng,red,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
白,bái,white,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
黑,hēi,black,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
唱歌,chànggē,sing,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
跳舞,tiàowǔ,dance,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
玩,wán,play,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
生日,shēngrì,birthday,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
太,tài,too / extremely,1,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
非常,fēicháng,very / extremely,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
真,zhēn,really,2,20,Festival square: set-completion payout multiplier,Target/weapon + matching; reuse in sentences
运动,yùndòng,exercise / sports,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
跑步,pǎobù,run / jog,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
游泳,yóuyǒng,swim,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
打篮球,dǎ lánqiú,play basketball,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
踢足球,tī zúqiú,play football / soccer,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
快,kuài,fast,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
慢,màn,slow,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
眼睛,yǎnjing,eyes,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
洗,xǐ,wash,2,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
猫,māo,cat,1,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
狗,gǒu,dog,1,21,Recreation spaces: additional active-play multiplier branch,Target/weapon + matching; reuse in sentences
电脑,diànnǎo,computer,1,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
电视,diànshì,television,1,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
电影,diànyǐng,movie,1,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
手机,shǒujī,mobile phone,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
打电话,dǎ diànhuà,make a phone call,1,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
喂,wèi,hello (on the phone),1,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
报纸,bàozhǐ,newspaper,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
公司,gōngsī,company,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
上班,shàngbān,go to work / be on duty,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
时间,shíjiān,time,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
小时,xiǎoshí,hour,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
手表,shǒubiǎo,wristwatch,2,22,Communications: visitor and review reward multipliers,Target/weapon + matching; reuse in sentences
教室,jiàoshì,classroom,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
课,kè,lesson / class,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
考试,kǎoshì,exam,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
题,tí,question / problem,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
问题,wèntí,question / issue,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
问,wèn,ask,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
